agent,total_correct,total_regret,accuracy_%
ShowAll,-1756.5,11756.5,-17.57
MuteAll,-1350.5,11350.5,-13.51
RuleBased,4517.900000000013,5482.099999999984,45.18
LinUCB_Tab,6663.000000000113,3336.999999999946,66.63
LinUCB_Sem,7425.0000000000655,2574.999999999991,74.25
